name,category,description,ingredients,diet_tags,allergens,sweet,salty,savory,spicy,sour,rich
Brazilian Black Bean Roasted Pork,Roast/Braise,"Montreal seasoned pork loin topped with a smoky Brazilian black bean sauce, cilantro & orange","Pork Loin, Water, Black Beans, Oranges, Bacon (Pork Cured With: Water, Salt, Sugar, Sodium Phosphates, Sodium Erythorbate, Sodium Nitrite.), Onion, Green Bell Pepper, Cilantro, Lime Juice, Chicken Base (CHICKEN MEAT AND NATURAL CHICKEN JUICES, MALTODEXTRIN, AUTOLYZED YEAST EXTRACT, NATURAL FLAVORS, SALT, CORN STARCH, 2% OR LESS OF VEGETABLE OIL (CORN AND/OR CANOLA OIL), DISODIUM INOSINATE, DRIED CHICKEN BROTH, TURMERIC AND ANNATTO (COLOR), POTATO STARCH, DISODIUM GUANYLATE, CHICKEN FAT, PAPRIKA (COLOR), DRIED CHICKEN, SUGAR, SPICES, PAPAIN, CITRIC ACID.), Canola Oil, Garlic, Kosher Salt, Paprika, Black Pepper, Cilantro, Cumin, Coriander",,,,,,,,
"CHICKEN, BAKED, HERBED, CREAM SAUCE",Roast/Braise,"Roasted, Chopped chicken coated with Herb seasonings Topped with a Brown Butter Cream Sauce","Chicken Thigh, Unsalted Butter, Heavy Cream, Parmesan Cheese, Onion, Kosher Salt, Garlic, Kosher Salt, Dried Thyme Leaf, Dried Rosemary, Dried Oregano, Dried Basil, Thyme, Crushed Red Pepper",,,,,,,,
Chicken Souvlaki,Grilled,"Grilled chicken skewer marinated in garlic, lemon, red wine vinegar and oregano","Chicken Thigh, Lemon Juice, Vegetable Oil Blend (Vegetable Oil (May contain one or more of the following: Soybean, Canola, Corn, Sunflower Oil); Olive Oil; Colorant: Beta-Carotene E160a(i)), Garlic, Kosher Salt, Dried Oregano, Black Pepper",,,,,,,,
Italian Spinach & White Beans,Stew,"Fresh spinach, white beans and sun-dried tomato mixture over orzo with fresh basil","Water, Marinara Sauce (Tomato Concentrate (water, tomato paste), Onion, Sugar, Garlic, Salt, Carrot Puree, Spices, Citric Acid, Natural Flavorings.), Pasta (SEMOLINA (WHEAT), DURUM WHEAT FLOUR, NIACIN (VITAMIN B3), FERROUS SULPHATE OR FERROUS LACTATE (IRON), THIAMINE MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID.), Great Northern Beans, Water, Celery, Onion, Spinach, Sun Dried Tomato, Banana Peppers (BANANA PEPPERS, WATER, SALT, ACETIC ACID, CITRIC ACID, CALCIUM CHLORIDE, PRESERVATIVES (SODIUM BENZOATE, SODIUM BISULFITE), CAPSICUM OLEORESIN, YELLOW 5. CONTAINS SULFITES.), Garlic, Vegetable Oil Blend (Vegetable Oil (May contain one or more of the following: Soybean, Canola, Corn, Sunflower Oil); Olive Oil; Colorant: Beta-Carotene E160a(i)), Basil, Vegetable Base (SAUTEED VEGETABLE PUREE MIX (CARROTS, ONIONS, CELERY), CORN STARCH, MALTODEXTRIN, VEGETABLE OIL (CORN AND/OR CANOLA OIL), HYDROLYZED CORN PROTEIN, YEAST EXTRACT, TOMATO POWDER, WATER, ONION POWDER, 2% OR LESS OF DISODIUM INOSINATE AND DISODIUM GUANYLATE, SALT, GARLIC POWDER, PAPRIKA (COLOR), NATURAL FLAVORS, LACTIC ACID, NATURAL FLAVOR, MODIFIED CORNSTARCH, CITRIC ACID.), Kosher Salt, Black Pepper",,,,,,,,
Vegan Bar Sesame Soy Tofu,Create Your Own,Extra firm tofu marinated in a sesame soy marinade,"Tofu, Cornstarch, Sesame Oil, Soy Sauce, Ginger Root, Brown Sugar, Garlic, Orange Juice, Crushed Red Pepper",,,,,,,,
OH Classic Cheese Pizza,"Traditional 16""",House-made pizza dough topped with tomato and fresh basil sauce and a generous layer of melted mozzarella,"All Purpose Flour (Bleached  Wheat Flour, Malted Barley Flour, Niacin, Iron, Potassium Bromate, Thiamin  Mononitrate, Riboflavin, Folic Acid.), Water, Mozzarella Cheese (Low-Moisture Part-Skim Mozzarella Cheese (Pasteurized Part-Skim Milk, Cheese Culture, Salt, Enzymes). Anti-Caking Blend (Potato Starch, Powdered Cellulose).), Crushed Tomatoes (VINE RIPENED TOMATOES, TOMATO PUREE, SEA SALT,  CITRIC ACID.), Extra Virgin Olive Oil, Granulated Sugar, Salt, Basil, Yeast, Kosher Salt, Garlic",,,,,,,,
OH Pepperoni Pizza,"Traditional 16""","House-made pizza dough topped with crispy pepperoni slices, tomato fresh basil sauce and mozzarella cheese","All Purpose Flour (Bleached  Wheat Flour, Malted Barley Flour, Niacin, Iron, Potassium Bromate, Thiamin  Mononitrate, Riboflavin, Folic Acid.), Water, Mozzarella Cheese (Low-Moisture Part-Skim Mozzarella Cheese (Pasteurized Part-Skim Milk, Cheese Culture, Salt, Enzymes). Anti-Caking Blend (Potato Starch, Powdered Cellulose).), Crushed Tomatoes (VINE RIPENED TOMATOES, TOMATO PUREE, SEA SALT,  CITRIC ACID.), Deli Pepperoni (CHICKEN, BEEF, TURKEY, SALT, CONTAINS 2% OR LESS OF WATER, DEXTROSE, SPICES, SMOKE FLAVORING, FLAVORING, GARLIC POWDER, OLEORESIN OF PAPRIKA, ROSEMARY EXTRACT, SODIUM ASCORBATE, SPICE EXTRACIVE, CITRIC ACID, LACTIC ACID STARTER CULTURE BHA, BHT, SODIUM NITRITE.  BHA, BHT WITH CITRIC ACID ADDED TO HELP PROTECT FLAVOR. SMOKE FLAVORING ADDED), Extra Virgin Olive Oil, Granulated Sugar, Salt, Basil, Yeast, Kosher Salt, Garlic",,,,,,,,
Deluxe Pizza,"Traditional 16""","A hearty combination of onions, mushrooms, pepperoni, sausage, tomato sauce and melted mozzarella","All Purpose Flour, Mozzarella Cheese, Water, Pizza Sauce, Pork Sausage Topping, Deli Pepperoni, Onion, Vegetable Oil Blend, Mushrooms, Vegetable Oil Blend, Kosher Salt, Granulated Sugar, Yeast, Vegetable Oil Blend, Kosher Salt, Kosher Salt, Black Pepper, Black Pepper",,,,,,,,
Char-Grilled Turkey Burger,Burger,"White-meat turkey burger served hot-off-the-grill on a fresh, soft bun","Turkey Burger, Roll",,,,,,,,
Grilled Black Bean Burger,Burger,"Gardenburger® black bean burger served hot-off-the-grill on a fresh, soft bun","Black Bean Veggie Burger, Roll",,,,,,,,
