name,category,description,ingredients,diet_tags,allergens,sweet,sour,bitter,spicy,dry
Hard-Cooked Egg,Omelet/Quiche/Frittata/Strata,"Perfectly hard-cooked egg, featuring a firm yet tender white and a rich, creamy yolk","Water, Egg",,,,,,,
Scrambled Just® Egg,Omelet/Quiche/Frittata/Strata,Scrambled Just® egg seasoned with salt & pepper,"Plant Based Egg (Water, Mung Bean Protein, Expeller-Pressed Canola Oil, Contains less than 2% of Dehydrated Onion, Gellan Gum, Carrot Extractives (color), Turmeric Extractives (color), Potassium Citrate, Salt, Sugar, Tapioca Syrup Solids, Tetrasodium Pyrophosphate, Transglutaminase, Nisin (preservative).), Canola Oil, Kosher Salt, Black Pepper",,,,,,,
Scrambled Eggs,Omelet/Quiche/Frittata/Strata,Eggs gently scrambled to fluffy perfection,"Egg Blend (WHOLE EGGS, 19.0% WATER. CONTAINS 2% OR LESS OF THE FOLLOWING: SALT, XANTHAN GUM, CITRIC ACID, ANNATTO (COLOR), BUTTER FLAVOR (SUNFLOWER OIL, NATURAL FLAVORS, MEDIUM CHAIN TRIGLYCERIDES).)",,,,,,,
"Egg, Ham & Cheese Tortilla",Breakfast,"Egg, ham & cheddar cheese in a tortilla","Flour Tortilla (Enriched Bleached Flour (Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Vegetable Shortening (Interesterified and Hydrogenated Soybean Oils), contains 2% or less of: Salt, Baking Soda, Sodium Acid Pyrophosphate, Distilled Monoglycerides, Enzymes, Cellulose Gum, Fumaric Acid, and Calcium Propionate and Sorbic Acid (to maintain freshness).), Egg, Ham (Pork Cured With: Water, Dextrose, Salt, Contains 2% or Less of: Potassium Lactate, Sodium Phosphates, Sodium Diacetate, Sodium Erythorbate, Sodium Nitrite.), Cheddar Cheese (Pasteurized Milk, Cheese Culture, Salt, Enzymes, Annatto (Vegetable Color).), Vegetable Oil Blend (Vegetable Oil (May contain one or more of the following: Soybean, Canola, Corn, Sunflower Oil); Olive Oil; Colorant: Beta-Carotene E160a(i))",,,,,,,
Pork Sausage Links,Breakfast Meat,Golden brown savory pork sausage link,"Sausage (Pork, Pork Broth, Contains 2% or Less of: Salt, Dextrose, Flavorings, BHT, Citric Acid, Propyl Gallate, Packed in Beef Collagen Casing.)",,,,,,,
Turkey Bacon,Breakfast Meat,Crispy turkey bacon strip,"Turkey Bacon (Turkey, Water, Sugar, 2% or less of Salt, Canola Oil, Sun flower Oil, Natural Flavor, Sodium Phosphate, Potassium Diacetate, Potassium Acetate, Smoke Flavor, Sodium Erythorbate, Sodium Nitrite.)",,,,,,,
O'Brien Potatoes,Potato,Pan-fried seasoned diced potatoes and sautéed green and red peppers and onions,"Potatoes, Canola Oil, Green Bell Pepper, Onion, Red Bell Pepper, Kosher Salt, Black Pepper",,,,,,,
Roasted Garlic Potatoes,Potato,Oven-roasted red potatoes tossed with roasted garlic,"Red Potato, Vegetable Oil Blend (Vegetable Oil (May contain one or more of the following: Soybean, Canola, Corn, Sunflower Oil); Olive Oil; Colorant: Beta-Carotene E160a(i)), Garlic, Kosher Salt, Black Pepper, Vegetable Oil Blend (Vegetable Oil (May contain one or more of the following: Soybean, Canola, Corn, Sunflower Oil); Olive Oil; Colorant: Beta-Carotene E160a(i))",,,,,,,
Pancake,Pancakes/Waffles/French Toast,"Pancake using oat milk, rice flour and egg replacer","Oat Milk (Oat base (water, oats), low erucic acid rapeseed oil. Contains 2% or less of: dipotassium phosphate, calcium carbonate, tricalcium phosphate, sea salt, dicalcium phosphate, riboflavin, vitamin A acetate, vitamin D2, vitamin B12), Rice Flour (Sweet White Rice Flour, Whole Grain Brown Rice Flour, Potato Starch, Whole Grain Sweet White Sorghum Flour, Tapioca Flour, Xanthan Gum.), Egg Substitute (Potato Starch, Tapioca Flour, Baking Soda, Psyllium Husk Powder), Baking Powder, Granulated Sugar, Baking Soda, Pure Vanilla Extract, Kosher Salt",,,,,,,
French Toast,Pancakes/Waffles/French Toast,Golden brown and fluffy cinnamon-spiced thick-cut French toast,"Texas Toast (UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, HIGH FRUCTOSE CORN SYRUP, WHEAT GLUTEN, CONTAINS 2% OR LESS OF EACH OF THE FOLLOWING: YEAST, SALT, DOUGH CONDITIONERS (CONTAINS ONE OR MORE OF THE FOLLOWING: SODIUM STEAROYL LACTYLATE, CALCIUM STEAROYL LACTYLATE, MONOGLYCERIDES, MONO- AND DIGLYCERIDES, DISTILLED MONOGLYCERIDES, CALCIUM PEROXIDE, CALCIUM IODATE, DATEM, ETHOXYLATED MONO- AND DIGLYCERIDES, ENZYMES, ASCORBIC ACID), SOYBEAN OIL, YELLOW CORN FLOUR, MONOCALCIUM PHOSPHATE, COLORED WITH ANNATTO AND TURMERIC, WHEAT STARCH, CALCIUM SULFATE, SOY LECITHIN, CALCIUM PROPIONATE (TO RETARD SPOILAGE).), Egg Blend (WHOLE EGGS, 19.0% WATER. CONTAINS 2% OR LESS OF THE FOLLOWING: SALT, XANTHAN GUM, CITRIC ACID, ANNATTO (COLOR), BUTTER FLAVOR (SUNFLOWER OIL, NATURAL FLAVORS, MEDIUM CHAIN TRIGLYCERIDES).), Reduced Fat Milk, Granulated Sugar, Pure Vanilla Extract, Cinnamon, Nutmeg",,,,,,,
