name,category,description,ingredients,diet_tags,allergens,sweet,sour,bitter,spicy,dry
"MEATBALLS, BEEF, GREEK THEME MEAL",Bake,Homemade beef meatballs with sundried tomatoes and fresh herbs,"Ground Beef, Bread Crumbs (ENRICHED FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE [VITAMIN B1], RIBOFLAVIN [VITAMIN B2], FOLIC ACID), WATER, HIGH FRUCTOSE CORN SYRUP, YEAST, SALT, VEGETABLE OIL (SOYBEAN, COTTONSEED AND/OR CANOLA), SUGAR, MAY CONTAIN 2% OR LESS OF THE FOLLOWING: WHEAT GLUTEN, DEXTROSE, SOY FLOUR, WHEY, CALCIUM PROPIONATE (PRESERVATIVE), SODIUM STEAROYL LACTYLATE (DOUGH CONDITIONER), MONO- AND DIGLYCERIDES, SOY LECITHIN, MOLASSES, HONEY, WHOLE WHEAT FLOUR, CORN FLOUR, CORNMEAL, CITRIC ACID, GRAIN VINEGAR, WHEAT STARCH, CORN STARCH, POTATO FLOUR, RICE FLOUR, WHEAT BRAN, OAT FIBER, CALCIUM SULFATE, DATEM, POTASSIUM IODATE, GUAR GUM, CALCIUM PHOSPHATE, ENRICHMENT (VITAMIN E ACETATE, VITAMIN A PALMITATE, VITAMIN D3), LACTIC ACID, ASCORBIC ACID (DOUGH CONDITIONER), SPICE & COLORING, NATURAL AND ARTIFICIAL FLAVOR, SESAME SEEDS.), Sun Dried Tomato, Egg Blend (WHOLE EGGS, 19.0% WATER. CONTAINS 2% OR LESS OF THE FOLLOWING: SALT, XANTHAN GUM, CITRIC ACID, ANNATTO (COLOR), BUTTER FLAVOR (SUNFLOWER OIL, NATURAL FLAVORS, MEDIUM CHAIN TRIGLYCERIDES).), Parsley, Vegetable Oil Blend (Vegetable Oil (May contain one or more of the following: Soybean, Canola, Corn, Sunflower Oil); Olive Oil; Colorant: Beta-Carotene E160a(i)), Garlic, Lemon Zest, Onion Powder, Kosher Salt, Black Pepper",,,,,,,
Asian Seared Chicken,Grilled,Seared Asian-marinated chicken,"Chicken Thigh, Soy Sauce (water, soybeans, salt, sugar), Seasoned Rice Vinegar (RICE VINEGAR (DILUTED WITH WATER TO 4.5% ACIDITY), DEXTROSE, SUGAR, SALT.), Water, Sesame Oil (Soybean oil, sesame oil.), Green Onion, Garlic, Black Pepper",,,,,,,
Vegan Bar Sesame Soy Tofu,Create Your Own,Extra firm tofu marinated in a sesame soy marinade,"Tofu, Cornstarch, Sesame Oil, Soy Sauce, Ginger Root, Brown Sugar, Garlic, Orange Juice, Crushed Red Pepper",,,,,,,
OH Classic Cheese Pizza,"Traditional 16""",House-made pizza dough topped with tomato and fresh basil sauce and a generous layer of melted mozzarella,"All Purpose Flour (Bleached  Wheat Flour, Malted Barley Flour, Niacin, Iron, Potassium Bromate, Thiamin  Mononitrate, Riboflavin, Folic Acid.), Water, Mozzarella Cheese (Low-Moisture Part-Skim Mozzarella Cheese (Pasteurized Part-Skim Milk, Cheese Culture, Salt, Enzymes). Anti-Caking Blend (Potato Starch, Powdered Cellulose).), Crushed Tomatoes (VINE RIPENED TOMATOES, TOMATO PUREE, SEA SALT,  CITRIC ACID.), Extra Virgin Olive Oil, Granulated Sugar, Salt, Basil, Yeast, Kosher Salt, Garlic",,,,,,,
OH Pepperoni Pizza,"Traditional 16""","House-made pizza dough topped with crispy pepperoni slices, tomato fresh basil sauce and mozzarella cheese","All Purpose Flour (Bleached  Wheat Flour, Malted Barley Flour, Niacin, Iron, Potassium Bromate, Thiamin  Mononitrate, Riboflavin, Folic Acid.), Water, Mozzarella Cheese (Low-Moisture Part-Skim Mozzarella Cheese (Pasteurized Part-Skim Milk, Cheese Culture, Salt, Enzymes). Anti-Caking Blend (Potato Starch, Powdered Cellulose).), Crushed Tomatoes (VINE RIPENED TOMATOES, TOMATO PUREE, SEA SALT,  CITRIC ACID.), Deli Pepperoni (CHICKEN, BEEF, TURKEY, SALT, CONTAINS 2% OR LESS OF WATER, DEXTROSE, SPICES, SMOKE FLAVORING, FLAVORING, GARLIC POWDER, OLEORESIN OF PAPRIKA, ROSEMARY EXTRACT, SODIUM ASCORBATE, SPICE EXTRACIVE, CITRIC ACID, LACTIC ACID STARTER CULTURE BHA, BHT, SODIUM NITRITE.  BHA, BHT WITH CITRIC ACID ADDED TO HELP PROTECT FLAVOR. SMOKE FLAVORING ADDED), Extra Virgin Olive Oil, Granulated Sugar, Salt, Basil, Yeast, Kosher Salt, Garlic",,,,,,,
Sausage & Caramelized Onion Pizza,"Traditional 16""","Italian sausage, caramelized onion, cheese, sliced jalapeno peppers and tomato sauce","All Purpose Flour, Cheddar Cheese, Water, Pizza Sauce, Onion, Pork Sausage Topping, Jalapeno Chili Peppers, Vegetable Oil Blend, Vegetable Oil Blend, Kosher Salt, Granulated Sugar, Yeast, Black Pepper",,,,,,,
Char-Grilled Turkey Burger,Burger,"White-meat turkey burger served hot-off-the-grill on a fresh, soft bun","Turkey Burger, Roll",,,,,,,
Grilled Black Bean Burger,Burger,"Gardenburger® black bean burger served hot-off-the-grill on a fresh, soft bun","Black Bean Veggie Burger, Roll",,,,,,,
Baja Turkey Wrap,Artisan,"Turkey, Guacamole, lettuce, tomato, onion and plant based chipotle mayo on a wrap","Water, Tortilla Variety Pack (Enriched Bleached Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Vegetable Shortening (Interesterified and Hydrogenated Soybean Oils), contains 2% or less of: Salt, Sodium Acid Pyrophosphate, Baking Soda, Distilled Monoglycerides, Enzymes, Vital Wheat Gluten, Cellulose Gum, Fumaric Acid, and Calcium Propionate and Sorbic Acid (to maintain freshness). TOMATO BASIL SEASONING (Tomato Powder, Spices, Salt, Sugar, Red Bell Pepper, Sun-Dried Tomato, Soybean Oil, Yeast, Onion Powder, Garlic Powder, Natural And Artificial Flavor, Extractives of Paprika); SPINACH HERB SEASONING (Spinach Powder, Onion Powder, Spice, Salt, Garlic Powder, Soybean Oil, Yellow 5 Lake, Blue 1 Lake, Natural And Artificial Flavor), Dextrose, Artificial Flavors, Propylen Glycol, Yellow 5, Blue 1; GARLIC HERB SEASONING (Sugar, Corn Maltodextrin, Salt, Modified Corn Starch, Spices, Dehydrated Garlic, Red Bell Pepper, Medium Chain Triglycerides, Dehydrated Tomato, Natural and Artificial Flavor, Onion powder).), Tomato, Vegan Mayonnaise (CANOLA OIL, WATER, SOYBEAN OIL, SUGAR, DISTILLED VINEGAR, SALT, CONTAINS 2% OR LESS OF EACH OF THE FOLLOWING: MODIFIED FOOD STARCH (CORN, POTATO), LEMON JUICE CONCENTRATE, NATURAL FLAVOR, CALCIUM DISODIUM EDTA (USED TO PROTECT QUALITY), PAPRIKA OLEORESIN.), Deli Turkey Breast, Onion, Kosher Salt, Guacamole (Hass Avocados, Distilled Vinegar, Contains 2% Or Less Of: Water, Jalapeño Peppers, Salt, Dehydrated Onion, Granulated Garlic, Erythorbic Acid (To Maintain Color), Sugar, Citric Acid (To Acidify).), Cider Vinegar, Lettuce, Brown Sugar, Chipotle Peppers in Sauce (WATER, TOMATO PASTE, DRIED CHIPOTLE PEPPERS, DISTILLED VINEGAR, CORN OIL, CONTAINS 2% OR LESS OF IODIZED SALT (CONTAINS POTASSIUM IODATE), CORN STARCH, ONION POWDER, GARLIC POWDER, SPICES.), Mint, Thyme, Lime Juice, Kosher Salt, Rosemary, Cilantro",,,,,,,
Boardwalk Tofu Wrap,Artisan,Italian seasoned tofu and spicy pepper relish on a spinach wrap,"Spinach Herb Tortilla, Tofu, Cherry Peppers, Banana Peppers, Roasted Red Peppers, Red Wine Vinegar, Pickle , Onion, Italian Seasoning, Garlic Powder, Kosher Salt",,,,,,,
