name,category,description,ingredients,diet_tags,allergens,sweet,salty,savory,spicy,sour,rich
"MEATBALLS, BEEF, GREEK THEME MEAL",Bake,Homemade beef meatballs with sundried tomatoes and fresh herbs,"Ground Beef, Bread Crumbs (ENRICHED FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE [VITAMIN B1], RIBOFLAVIN [VITAMIN B2], FOLIC ACID), WATER, HIGH FRUCTOSE CORN SYRUP, YEAST, SALT, VEGETABLE OIL (SOYBEAN, COTTONSEED AND/OR CANOLA), SUGAR, MAY CONTAIN 2% OR LESS OF THE FOLLOWING: WHEAT GLUTEN, DEXTROSE, SOY FLOUR, WHEY, CALCIUM PROPIONATE (PRESERVATIVE), SODIUM STEAROYL LACTYLATE (DOUGH CONDITIONER), MONO- AND DIGLYCERIDES, SOY LECITHIN, MOLASSES, HONEY, WHOLE WHEAT FLOUR, CORN FLOUR, CORNMEAL, CITRIC ACID, GRAIN VINEGAR, WHEAT STARCH, CORN STARCH, POTATO FLOUR, RICE FLOUR, WHEAT BRAN, OAT FIBER, CALCIUM SULFATE, DATEM, POTASSIUM IODATE, GUAR GUM, CALCIUM PHOSPHATE, ENRICHMENT (VITAMIN E ACETATE, VITAMIN A PALMITATE, VITAMIN D3), LACTIC ACID, ASCORBIC ACID (DOUGH CONDITIONER), SPICE & COLORING, NATURAL AND ARTIFICIAL FLAVOR, SESAME SEEDS.), Sun Dried Tomato, Egg Blend (WHOLE EGGS, 19.0% WATER. CONTAINS 2% OR LESS OF THE FOLLOWING: SALT, XANTHAN GUM, CITRIC ACID, ANNATTO (COLOR), BUTTER FLAVOR (SUNFLOWER OIL, NATURAL FLAVORS, MEDIUM CHAIN TRIGLYCERIDES).), Parsley, Vegetable Oil Blend (Vegetable Oil (May contain one or more of the following: Soybean, Canola, Corn, Sunflower Oil); Olive Oil; Colorant: Beta-Carotene E160a(i)), Garlic, Lemon Zest, Onion Powder, Kosher Salt, Black Pepper",,,3.4,3.4,3.6,1.8,3.6,5.0
Asian Seared Chicken,Grilled,Seared Asian-marinated chicken,"Chicken Thigh, Soy Sauce (water, soybeans, salt, sugar), Seasoned Rice Vinegar (RICE VINEGAR (DILUTED WITH WATER TO 4.5% ACIDITY), DEXTROSE, SUGAR, SALT.), Water, Sesame Oil (Soybean oil, sesame oil.), Green Onion, Garlic, Black Pepper",,,3.5,4.3,4.7,2.3,3.0,2.9
Vegan Bar Sesame Soy Tofu,Create Your Own,Extra firm tofu marinated in a sesame soy marinade,"Tofu, Cornstarch, Sesame Oil, Soy Sauce, Ginger Root, Brown Sugar, Garlic, Orange Juice, Crushed Red Pepper",,,2.4,4.4,4.9,2.7,0.6,3.6
OH Classic Cheese Pizza,"Traditional 16""",House-made pizza dough topped with tomato and fresh basil sauce and a generous layer of melted mozzarella,"All Purpose Flour (Bleached  Wheat Flour, Malted Barley Flour, Niacin, Iron, Potassium Bromate, Thiamin  Mononitrate, Riboflavin, Folic Acid.), Water, Mozzarella Cheese (Low-Moisture Part-Skim Mozzarella Cheese (Pasteurized Part-Skim Milk, Cheese Culture, Salt, Enzymes). Anti-Caking Blend (Potato Starch, Powdered Cellulose).), Crushed Tomatoes (VINE RIPENED TOMATOES, TOMATO PUREE, SEA SALT,  CITRIC ACID.), Extra Virgin Olive Oil, Granulated Sugar, Salt, Basil, Yeast, Kosher Salt, Garlic",,,3.0,3.3,4.0,0.4,1.5,5.0
OH Pepperoni Pizza,"Traditional 16""","House-made pizza dough topped with crispy pepperoni slices, tomato fresh basil sauce and mozzarella cheese","All Purpose Flour (Bleached  Wheat Flour, Malted Barley Flour, Niacin, Iron, Potassium Bromate, Thiamin  Mononitrate, Riboflavin, Folic Acid.), Water, Mozzarella Cheese (Low-Moisture Part-Skim Mozzarella Cheese (Pasteurized Part-Skim Milk, Cheese Culture, Salt, Enzymes). Anti-Caking Blend (Potato Starch, Powdered Cellulose).), Crushed Tomatoes (VINE RIPENED TOMATOES, TOMATO PUREE, SEA SALT,  CITRIC ACID.), Deli Pepperoni (CHICKEN, BEEF, TURKEY, SALT, CONTAINS 2% OR LESS OF WATER, DEXTROSE, SPICES, SMOKE FLAVORING, FLAVORING, GARLIC POWDER, OLEORESIN OF PAPRIKA, ROSEMARY EXTRACT, SODIUM ASCORBATE, SPICE EXTRACIVE, CITRIC ACID, LACTIC ACID STARTER CULTURE BHA, BHT, SODIUM NITRITE.  BHA, BHT WITH CITRIC ACID ADDED TO HELP PROTECT FLAVOR. SMOKE FLAVORING ADDED), Extra Virgin Olive Oil, Granulated Sugar, Salt, Basil, Yeast, Kosher Salt, Garlic",,,3.8,4.3,3.6,3.1,0.9,5.0
Sausage & Caramelized Onion Pizza,"Traditional 16""","Italian sausage, caramelized onion, cheese, sliced jalapeno peppers and tomato sauce","All Purpose Flour, Cheddar Cheese, Water, Pizza Sauce, Onion, Pork Sausage Topping, Jalapeno Chili Peppers, Vegetable Oil Blend, Vegetable Oil Blend, Kosher Salt, Granulated Sugar, Yeast, Black Pepper",,,1.8,4.4,4.2,3.9,0.1,5.0
Char-Grilled Turkey Burger,Burger,"White-meat turkey burger served hot-off-the-grill on a fresh, soft bun","Turkey Burger, Roll",,,0.3,1.2,3.6,0.3,1.1,1.5
Grilled Black Bean Burger,Burger,"Gardenburger® black bean burger served hot-off-the-grill on a fresh, soft bun","Black Bean Veggie Burger, Roll",,,0.1,1.1,3.7,1.2,1.2,2.0
Baja Turkey Wrap,Artisan,"Turkey, Guacamole, lettuce, tomato, onion and plant based chipotle mayo on a wrap","Water, Tortilla Variety Pack (Enriched Bleached Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Vegetable Shortening (Interesterified and Hydrogenated Soybean Oils), contains 2% or less of: Salt, Sodium Acid Pyrophosphate, Baking Soda, Distilled Monoglycerides, Enzymes, Vital Wheat Gluten, Cellulose Gum, Fumaric Acid, and Calcium Propionate and Sorbic Acid (to maintain freshness). TOMATO BASIL SEASONING (Tomato Powder, Spices, Salt, Sugar, Red Bell Pepper, Sun-Dried Tomato, Soybean Oil, Yeast, Onion Powder, Garlic Powder, Natural And Artificial Flavor, Extractives of Paprika); SPINACH HERB SEASONING (Spinach Powder, Onion Powder, Spice, Salt, Garlic Powder, Soybean Oil, Yellow 5 Lake, Blue 1 Lake, Natural And Artificial Flavor), Dextrose, Artificial Flavors, Propylen Glycol, Yellow 5, Blue 1; GARLIC HERB SEASONING (Sugar, Corn Maltodextrin, Salt, Modified Corn Starch, Spices, Dehydrated Garlic, Red Bell Pepper, Medium Chain Triglycerides, Dehydrated Tomato, Natural and Artificial Flavor, Onion powder).), Tomato, Vegan Mayonnaise (CANOLA OIL, WATER, SOYBEAN OIL, SUGAR, DISTILLED VINEGAR, SALT, CONTAINS 2% OR LESS OF EACH OF THE FOLLOWING: MODIFIED FOOD STARCH (CORN, POTATO), LEMON JUICE CONCENTRATE, NATURAL FLAVOR, CALCIUM DISODIUM EDTA (USED TO PROTECT QUALITY), PAPRIKA OLEORESIN.), Deli Turkey Breast, Onion, Kosher Salt, Guacamole (Hass Avocados, Distilled Vinegar, Contains 2% Or Less Of: Water, Jalapeño Peppers, Salt, Dehydrated Onion, Granulated Garlic, Erythorbic Acid (To Maintain Color), Sugar, Citric Acid (To Acidify).), Cider Vinegar, Lettuce, Brown Sugar, Chipotle Peppers in Sauce (WATER, TOMATO PASTE, DRIED CHIPOTLE PEPPERS, DISTILLED VINEGAR, CORN OIL, CONTAINS 2% OR LESS OF IODIZED SALT (CONTAINS POTASSIUM IODATE), CORN STARCH, ONION POWDER, GARLIC POWDER, SPICES.), Mint, Thyme, Lime Juice, Kosher Salt, Rosemary, Cilantro",,,3.3,2.7,4.8,2.7,2.2,4.2
Boardwalk Tofu Wrap,Artisan,Italian seasoned tofu and spicy pepper relish on a spinach wrap,"Spinach Herb Tortilla, Tofu, Cherry Peppers, Banana Peppers, Roasted Red Peppers, Red Wine Vinegar, Pickle , Onion, Italian Seasoning, Garlic Powder, Kosher Salt",,,0.9,4.3,5.0,2.1,3.5,2.8
Corner Chicken Salad Croissant,Artisan,Creamy chicken salad with lettuce & tomato on a buttery croissant,"Croissant, Chicken, Tomato, Mayonnaise, Cucumber, Celery, Lettuce, Dijon Mustard, Lemon Juice, Black Pepper",,,0.0,2.8,4.0,2.7,3.4,4.6
Cavalier Club,Club,"Turkey, Ham, Bacon, lettuce, tomato & herb cream cheese layered on toasted artisan country white bread","Sour Dough Bread, Water, Bacon, Lettuce, Deli Ham, Tomato, Deli Turkey Breast, Onion, Kosher Salt, Cream Cheese, Brown Sugar, Mint, Lemon Juice, Thyme, Green Onion, Parsley, Rosemary, Garlic, Dried Tarragon, Basil, Kosher Salt, Crushed Red Pepper",,,2.9,5.0,4.7,3.8,2.7,3.2
Greek Salad,Salad Entrée,,,,,0.3,1.4,2.4,1.5,1.3,2.5
Ginger Garlic Broccoli,Vegetables - Green,"Ginger Garlic Broccoli florets tossed in olive oil, ginger, garlic, salt and pepper and oven roasted","Broccoli, Canola Oil, Garlic, Kosher Salt, Ginger Root, Black Pepper",,,0.5,3.0,5.0,2.0,0.7,4.4
Sauteed Kale & Brussels Sprouts,Vegetables - Green,"Sauteed kale, Brussels sprouts and garlic with balsamic vinegar, crushed red pepper and chili powder","Kale, Brussel Sprouts, Vegetable Oil Blend (Vegetable Oil (May contain one or more of the following: Soybean, Canola, Corn, Sunflower Oil); Olive Oil; Colorant: Beta-Carotene E160a(i)), Garlic, Balsamic Vinegar, Kosher Salt, Black Pepper, Chili Powder (CHILI PEPPER, SPICES, SALT, SILICON DIOXIDE (TO MAKE FREE FLOWING) AND GARLIC), Crushed Red Pepper",,,1.2,4.4,3.4,3.9,1.8,4.0
Roasted Cauliflower,Vegetables - Non-Green,Fresh cauliflower seasoned and roasted,"Cauliflower, Vegetable Oil Blend (Vegetable Oil (May contain one or more of the following: Soybean, Canola, Corn, Sunflower Oil); Olive Oil; Colorant: Beta-Carotene E160a(i)), Kosher Salt, Black Pepper",,,1.3,3.7,3.3,3.6,0.7,3.6
Roasted Mushrooms,Vegetables - Non-Green,"Sliced mushrooms roasted with oil, salt and pepper","Mushrooms, Canola Oil, Kosher Salt, Black Pepper",,,0.1,2.6,4.5,3.3,0.1,3.6
Green Bean Mushroom Stir Fry,Vegetables - Non-Green,"Fresh green beans, mushroom, sliced carrot and onion","Green Beans, Onion, Carrots, Mushrooms",,,0.1,2.1,5.0,0.8,0.3,1.6
Pickled Soy Sesame Cucumbers,Vegetable/Herb Salad,"Cucumbers marinated with ginger, garlic, sesame oil, gochujang and jalapenos","Cucumber, White Vinegar, Green Onion, Granulated Sugar, Jalapeno Pepper, Gochujang Paste (TAPIOCA SYRUP, WATER, BROWN RICE, RED PEPPER POWDER, SALT, ALCOHOL (TO PRESERVE FRESHNESS), SOYBEAN, GARLIC, ONION), Cilantro, Garlic, Sesame Oil (Soybean oil, sesame oil.), Ginger Root, Kosher Salt",,,2.6,2.6,3.6,2.8,2.1,2.8
Penne,Pasta/Noodle (Side),Fresh cooked al dente made-without-gluten tube pasta,"Water, Pasta (CORN FLOUR, RICE FLOUR, MONO AND DI-GLYCERIDES.)",,,1.1,1.4,3.3,0.9,0.3,3.0
"ORZO, SPANAKOPITA, THEME MEAL",Pasta/Noodle (Side),Orzo with spinach and fresh herbs inspired by a spanakopita,"Pasta (SEMOLINA (WHEAT), DURUM WHEAT FLOUR, NIACIN (VITAMIN B3), FERROUS SULPHATE OR FERROUS LACTATE (IRON), THIAMINE MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID.), Spinach, Dill, Vegetable Base (SAUTEED VEGETABLE PUREE MIX (CARROTS, ONIONS, CELERY), CORN STARCH, MALTODEXTRIN, VEGETABLE OIL (CORN AND/OR CANOLA OIL), HYDROLYZED CORN PROTEIN, YEAST EXTRACT, TOMATO POWDER, WATER, ONION POWDER, 2% OR LESS OF DISODIUM INOSINATE AND DISODIUM GUANYLATE, SALT, GARLIC POWDER, PAPRIKA (COLOR), NATURAL FLAVORS, LACTIC ACID, NATURAL FLAVOR, MODIFIED CORNSTARCH, CITRIC ACID.), Vegetable Oil Blend (Vegetable Oil (May contain one or more of the following: Soybean, Canola, Corn, Sunflower Oil); Olive Oil; Colorant: Beta-Carotene E160a(i)), Mint, Garlic, Kosher Salt, Black Pepper",,,0.6,2.7,3.7,3.5,1.3,3.7
Garlic Ginger Fried Rice,Rice,"Fried rice with pea pods, onion, green onion, garlic, ginger and soy sauce with scrambled eggs","Water, White Rice, Egg Blend (WHOLE EGGS, 19.0% WATER. CONTAINS 2% OR LESS OF THE FOLLOWING: SALT, XANTHAN GUM, CITRIC ACID, ANNATTO (COLOR), BUTTER FLAVOR (SUNFLOWER OIL, NATURAL FLAVORS, MEDIUM CHAIN TRIGLYCERIDES).), Snow Peas, Onion, Vegetable Oil Blend (Vegetable Oil (May contain one or more of the following: Soybean, Canola, Corn, Sunflower Oil); Olive Oil; Colorant: Beta-Carotene E160a(i)), Green Onion, Soy Sauce (water, soybeans, salt, sugar), Garlic, Ginger Root, Vegetable Oil Blend (Vegetable Oil (May contain one or more of the following: Soybean, Canola, Corn, Sunflower Oil); Olive Oil; Colorant: Beta-Carotene E160a(i)), Kosher Salt, Black Pepper",,,2.9,2.7,3.5,3.0,1.4,5.0
Crispy Shoestring French Fries,Potato,Piping hot crispy shoestring French fries,"French Fries (Potatoes, Vegetable Oil (Contains One Or More Of The Following Oils: Canola, Soybean, Cottonseed, Sunflower, Corn), Potato Starch - Modified. Contains 2% or less of Dextrin, Dextrose, Leavening (Sodium Acid Pyrophosphate, Sodium Bicarbonate), Pea Fiber, Pea Protein, Rice Flour, Salt, Sodium Acid Pyrophosphate Added To Maintain Color, Xanthan Gum.)",,,0.7,4.6,2.8,1.2,1.1,3.1
OHill Cannoli,Pies/Tart/Pastry,Cannoli shell filled with fresh filling,"Ricotta Cheese (Pasteurized milk, pasteurized whey, pasteurized cream, vinegar, and salt), Marscapone Cheese (Pasteurized cream and milk, citric acid/ latte pastorizzato, panna, adico citrico.), Powdered Sugar, Chocolate Chips (INGREDIENTS: SUGAR, CHOCOLATE LIQUOR, COCOA BUTTER, MILKFAT, SOY LECITHIN, NATURAL FLAVOR. CONTAINS: MILK, SOY), Cannoli Shell (Wheat Flour (Wheat Flour, Melted Barley Flour), Wheat Flour, Eggs, White Vinegar, Water, Cane Sugar, Shortening (Palm Oil), Cinnamon Oil, Cinnamon Powder, Natural Vanilla Flavor, Salt.), Pure Vanilla Extract",,,5.0,2.8,2.9,0.4,3.4,5.0
Apple Pear Crisp,Cobbler/Crisp,"Warm cinnamon and nutmeg-spiced apples, pears & raisin with brown sugar, oatmeal crumble","Apples, Pears in Pear Juice, Unsalted Butter, Wheat Flour, Orange Juice, Oatmeal, Brown Sugar, Seedless Raisins, Lemon Juice, Cinnamon, Cinnamon, Nutmeg",,,2.7,4.7,3.0,0.8,2.9,4.1
Double Fudge Brownie,Brownie/Bar,"Rich, fudgy brownie topped with smooth chocolate icing - a symphony of deep, intense flavor","Brownie Mix (SUGAR, ENRICHED FLOUR BLEACHED (WHEAT FLOUR, NIACIN, IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), PALM OIL, COCOA PROCESSEDWITH ALKALI, SOYBEAN OIL. CONTAINS 2% OR LESS OF: CORN STARCH, EGG WHITE, SALT, LEAVENING (BAKING SODA, MONOCALCIUM PHOSPHATE), NATURAL FLAVOR, SOY FLOUR, NONFAT MILK.), Icing (SUGAR, PALM OIL, WATER, CORN SYRUP, COCOA PROCESSED WITH ALKALI, CORN STARCH. CONTAINS 2% OR LESS OF: SALT, MONOGLYCERIDES, POTASSIUM SORBATE (PRESERVATIVE), POLYSORBATE 60, NATURAL AND ARTIFICIAL FLAVOR, SODIUM STEAROYL LACTYLATE, SODIUM ACID PYROPHOSPHATE, CITRIC ACID, COLOR ADDED, NONFAT MILK.), Water",,,5.0,4.2,3.8,0.8,0.6,3.3
"CHERRY, BUBBLY, VISINADA, THEME MEAL",Beverage,Cherryade made with sweetened cherry juice topped with sparkling water and fresh basil,"Ice Cubes, Sparkling Water, Basil, Granulated Sugar, Reserved Juice from Maraschino Cherries, Water",,,2.7,2.2,3.6,0.9,1.3,1.1
Shredded Cheddar Cheese,Meat/Cheese/Egg/Protein/Nut (MTO),Shredded Cheddar cheese,,,,1.3,2.3,4.0,1.2,0.4,5.0
Black Beans,Meat/Cheese/Egg/Protein/Nut (MTO),Black beans,,,,1.3,1.6,3.8,0.1,0.0,1.4
Chopped Hard-Cooked Egg,Meat/Cheese/Egg/Protein/Nut (MTO),Chopped hard-cooked egg,,,,0.8,1.9,2.1,1.2,1.0,3.3
Swiss Cheese,Meat/Cheese/Egg/Protein/Nut (MTO),Sliced Swiss cheese,,,,1.1,2.3,3.2,1.4,0.3,4.5
Provolone Cheese,Meat/Cheese/Egg/Protein/Nut (MTO),Sliced provolone,,,,0.1,2.9,2.2,1.4,0.5,4.6
American Cheese,Meat/Cheese/Egg/Protein/Nut (MTO),Sliced American cheese,,,,0.8,2.2,2.2,1.0,1.1,4.3
O'Hill Smash Burger*,Meat/Cheese/Egg/Protein/Nut (MTO),Juicy burger pressed with American cheese on a Martin's potato roll,"Ground Beef, Hamburger Roll (Unbleached Enriched Wheat Flour (flour, Ferrous Sulfate, Niacin, Thiamin, Riboflavin, Folic Acid), Nonfat Milk, Reconstituted Potatoes (from Potato Flour), Yeast, Sugar, Cane Sugar Syrup, Wheat Gluten, Sunflower Oil, Contains 2 Percent Or Less Of Each Of The Following: Salt, Butter, Dough Conditioners (sodium Stearoyl Lactylate, Monoglycerides And Diglycerides), Monocalcium Phosphate, Cultured Wheat Flour, Calcium Propionate (a Preservative), Guar Gum, Ascorbic Acid, Datem, Calcium Sulfate, Enzymes, Turmeric Color, Annatto Color, Sesame Seeds.), American Cheese (American Cheese (Milk, Cheese Culture, Salt, Enzymes), Water, Cream, Potassium Citrate, Sodium Citrate, Sorbic Acid As A Preservative, Color Added, Sunflower Lecithin (Release Agent).), Kosher Salt, Black Pepper",,,2.6,4.6,4.2,3.3,1.2,5.0
Plant-Based Meatball,Meat/Cheese/Egg/Protein/Nut (MTO),Roasted plant-based meatball,Vegan Meatball,,,0.1,1.8,3.6,0.4,0.4,2.2
Chopped Fresh Spinach,Meat/Cheese/Egg/Protein/Nut (MTO),Chopped fresh spinach,,,,0.1,2.0,2.6,1.4,0.8,1.4
Croutons,Breads/Grains/Pasta/Cereal (MTO),Homestyle seasoned croutons,,,,0.7,1.1,2.1,0.7,1.0,1.2
Smoky Chipotle Mayo,Spread,Vegan mayonnaise blended with chipotle peppers and cider vinegar,"Vegan Mayonnaise (CANOLA OIL, WATER, SOYBEAN OIL, SUGAR, DISTILLED VINEGAR, SALT, CONTAINS 2% OR LESS OF EACH OF THE FOLLOWING: MODIFIED FOOD STARCH (CORN, POTATO), LEMON JUICE CONCENTRATE, NATURAL FLAVOR, CALCIUM DISODIUM EDTA (USED TO PROTECT QUALITY), PAPRIKA OLEORESIN.), Cider Vinegar, Chipotle Peppers in Sauce (WATER, TOMATO PASTE, DRIED CHIPOTLE PEPPERS, DISTILLED VINEGAR, CORN OIL, CONTAINS 2% OR LESS OF IODIZED SALT (CONTAINS POTASSIUM IODATE), CORN STARCH, ONION POWDER, GARLIC POWDER, SPICES.), Kosher Salt",,,3.0,2.4,5.0,2.6,2.5,2.5
Sliced Red Onions,Fruit/Vegetable/Herb/Salad (MTO),Thinly sliced red onions,,,,1.1,1.3,3.4,0.8,1.1,3.5
Feta Cheese Crumbles,Fruit/Vegetable/Herb/Salad (MTO),Crumbled feta,,,,0.2,1.5,3.0,0.5,0.7,5.0
Romaine Lettuce,Fruit/Vegetable/Herb/Salad (MTO),Chopped romaine lettuce,,,,0.7,1.9,3.5,0.6,0.8,2.9
Grape Tomatoes,Fruit/Vegetable/Herb/Salad (MTO),Fresh grape tomatoes,,,,0.6,2.1,3.9,0.1,0.0,3.1
Sliced Green Bell Peppers,Fruit/Vegetable/Herb/Salad (MTO),Sliced green bell peppers,,,,0.3,1.9,3.2,3.7,1.0,1.1
Cucumbers,Fruit/Vegetable/Herb/Salad (MTO),Sliced fresh cucumbers,,,,0.6,1.2,3.0,0.3,0.3,2.4
Roasted Corn,Fruit/Vegetable/Herb/Salad (MTO),Roasted corn tossed with salt and pepper,,,,0.1,3.6,4.0,3.1,0.7,1.5
Sliced Red Bell Peppers,Fruit/Vegetable/Herb/Salad (MTO),Sliced red bell peppers,,,,0.1,1.8,3.3,2.1,1.2,1.8
Shredded Carrots,Fruit/Vegetable/Herb/Salad (MTO),Shredded fresh carrots,,,,0.6,1.1,2.5,1.3,1.3,1.3
Spring Salad Mix,Fruit/Vegetable/Herb/Salad (MTO),Fresh spring lettuce mix,,,,0.8,2.6,2.2,1.4,1.4,1.4
Green Leaf Lettuce,Fruit/Vegetable/Herb/Salad (MTO),Green whole leaf lettuce,,,,0.4,2.9,2.9,0.7,0.2,1.9
Sliced Tomatoes,Fruit/Vegetable/Herb/Salad (MTO),Sliced fresh tomatoes,,,,0.9,1.5,2.1,1.1,0.3,2.1
Caramelized Onions,Fruit/Vegetable/Herb/Salad (MTO),Sliced onions slowly sauteed until golden,,,,0.3,1.5,3.3,0.5,0.2,1.6
Dill Pickle Slices,Condiments/Spreads/Dressings/Sauces/Salsas (MTO),Dill pickle slices,"Pickle Slices (FRESH  CUCUMBERS, WATER, SALT, DISTILLED VINEGAR, CONTAINS LESS THAN 2% OF DRIED  GARLIC, CALCIUM CHLORIDE, SPICE, SODIUM BENZOATE (TO PRESERVE FLAVOR),  MUSTARD SEED, DRIED RED PEPPERS, NATURAL FLAVOR, POLYSORBATE 80, OLEORESIN  TURMERIC)",,,0.0,4.4,3.3,3.2,2.5,1.1
Lite Italian Dressing,Condiments/Spreads/Dressings/Sauces/Salsas (MTO),Lite Italian salad dressing,,,,1.2,1.9,3.1,1.2,0.8,3.1
Ranch Dressing,Condiments/Spreads/Dressings/Sauces/Salsas (MTO),Homestyle creamy ranch salad dressing,,,,0.2,1.1,3.1,1.4,0.8,5.0
Mayonnaise,Condiments/Spreads/Dressings/Sauces/Salsas (MTO),Mayonnaise,,,,1.5,1.6,2.7,0.5,0.4,3.2
Burger Sauce,Condiments/Spreads/Dressings/Sauces/Salsas (MTO),"Creamy blend of mayonnaise, ketchup, sweet pickle relish, Worcestershire and hot pepper sauce",,,,3.6,1.6,2.1,3.2,2.8,4.4
Hearty Meat Sauce,Vegetable,"Homemade sauce with ground beef, tomatoes, onion, bell peppers, garlic, basil and oregano","Tomatoes, Ground Beef, Onion, Tomato Paste, Green Bell Pepper, Red Bell Pepper, Garlic, Red Wine Vinegar, Dried Oregano, Black Pepper, Dried Basil",,,1.1,2.9,4.4,3.1,2.5,1.7
"SAUCE, LEMON, DILL, DIJON, THEME MEAL",Gravy,Creamy lemon sauce flavored with dijon and fresh dill,"Extra Virgin Olive Oil, Lemon Juice, Dill, Dijon Mustard (Distilled Vinegar, Water, #1 Grade Mustard Seed, Salt, Chardonnay Wine, Spices and Turmeric), Garlic, Kosher Salt, Black Pepper",,,0.1,3.6,4.2,3.2,3.9,5.0
