name,category,description,ingredients,diet_tags,allergens,sweet,salty,savory,spicy,sour,rich
Taco-Seasoned Grilled Chicken,Bake,Taco-seasoned grilled chicken thighs,"Chicken Thigh, Taco Seasoning (DEXTROSE, SALT, CORN FLOUR, CHILI PEPPER, CUMIN, ONION POWDER, GARLIC POWDER, OREGANO, CITRIC ACID, SILICON DIOXIDE (AS ANTICAKING AGENT) & EXTRACTIVES OF PAPRIKA.), Vegetable Oil Blend (Vegetable Oil (May contain one or more of the following: Soybean, Canola, Corn, Sunflower Oil); Olive Oil; Colorant: Beta-Carotene E160a(i))",,,0.5,3.6,3.4,3.8,0.6,3.1
Chicken Shawarma,Grilled,"Marinated chicken thigh, seasoned with a blend of aromatic spices, slow-cooked to tender perfection","Chicken Thigh, Lemon Juice, Vegetable Oil Blend (Vegetable Oil (May contain one or more of the following: Soybean, Canola, Corn, Sunflower Oil); Olive Oil; Colorant: Beta-Carotene E160a(i)), Coriander, Kosher Salt, Cumin, Allspice, Cinnamon, Paprika, Ginger, Turmeric, Black Pepper, Cayenne Pepper",,,0.2,3.4,3.0,2.4,3.3,3.9
Taco Beef,Saute,Spicy taco-seasoned ground beef,"Ground Beef, Water, Taco Seasoning (DEXTROSE, SALT, CORN FLOUR, CHILI PEPPER, CUMIN, ONION POWDER, GARLIC POWDER, OREGANO, CITRIC ACID, SILICON DIOXIDE (AS ANTICAKING AGENT) & EXTRACTIVES OF PAPRIKA.)",,,1.0,2.6,4.4,2.9,1.5,2.1
Vegan Bar Sesame Soy Tofu,Create Your Own,Extra firm tofu marinated in a sesame soy marinade,"Tofu, Cornstarch, Sesame Oil, Soy Sauce, Ginger Root, Brown Sugar, Garlic, Orange Juice, Crushed Red Pepper",,,2.4,4.4,4.9,2.7,0.6,3.6
OH Classic Cheese Pizza,"Traditional 16""",House-made pizza dough topped with tomato and fresh basil sauce and a generous layer of melted mozzarella,"All Purpose Flour (Bleached  Wheat Flour, Malted Barley Flour, Niacin, Iron, Potassium Bromate, Thiamin  Mononitrate, Riboflavin, Folic Acid.), Water, Mozzarella Cheese (Low-Moisture Part-Skim Mozzarella Cheese (Pasteurized Part-Skim Milk, Cheese Culture, Salt, Enzymes). Anti-Caking Blend (Potato Starch, Powdered Cellulose).), Crushed Tomatoes (VINE RIPENED TOMATOES, TOMATO PUREE, SEA SALT,  CITRIC ACID.), Extra Virgin Olive Oil, Granulated Sugar, Salt, Basil, Yeast, Kosher Salt, Garlic",,,3.0,3.3,4.0,0.4,1.5,5.0
OH Pepperoni Pizza,"Traditional 16""","House-made pizza dough topped with crispy pepperoni slices, tomato fresh basil sauce and mozzarella cheese","All Purpose Flour (Bleached  Wheat Flour, Malted Barley Flour, Niacin, Iron, Potassium Bromate, Thiamin  Mononitrate, Riboflavin, Folic Acid.), Water, Mozzarella Cheese (Low-Moisture Part-Skim Mozzarella Cheese (Pasteurized Part-Skim Milk, Cheese Culture, Salt, Enzymes). Anti-Caking Blend (Potato Starch, Powdered Cellulose).), Crushed Tomatoes (VINE RIPENED TOMATOES, TOMATO PUREE, SEA SALT,  CITRIC ACID.), Deli Pepperoni (CHICKEN, BEEF, TURKEY, SALT, CONTAINS 2% OR LESS OF WATER, DEXTROSE, SPICES, SMOKE FLAVORING, FLAVORING, GARLIC POWDER, OLEORESIN OF PAPRIKA, ROSEMARY EXTRACT, SODIUM ASCORBATE, SPICE EXTRACIVE, CITRIC ACID, LACTIC ACID STARTER CULTURE BHA, BHT, SODIUM NITRITE.  BHA, BHT WITH CITRIC ACID ADDED TO HELP PROTECT FLAVOR. SMOKE FLAVORING ADDED), Extra Virgin Olive Oil, Granulated Sugar, Salt, Basil, Yeast, Kosher Salt, Garlic",,,3.8,4.3,3.6,3.1,0.9,5.0
Pepperoni & Sausage Pizza,"Traditional 16""",Savory layer of sausage & pepperoni slices atop tomato sauce and melted mozzarella cheese,"All Purpose Flour (Bleached  Wheat Flour, Malted Barley Flour, Niacin, Iron, Potassium Bromate, Thiamin  Mononitrate, Riboflavin, Folic Acid.), Mozzarella Cheese (Low-Moisture Part-Skim Mozzarella Cheese (Pasteurized Part-Skim Milk, Cheese Culture, Salt, Enzymes). Anti-Caking Blend (Potato Starch, Powdered Cellulose).), Water, Tomatoes, Pork Sausage Topping (Pork, water, spices, salt, sugar, flavoring.), Deli Pepperoni (CHICKEN, BEEF, TURKEY, SALT, CONTAINS 2% OR LESS OF WATER, DEXTROSE, SPICES, SMOKE FLAVORING, FLAVORING, GARLIC POWDER, OLEORESIN OF PAPRIKA, ROSEMARY EXTRACT, SODIUM ASCORBATE, SPICE EXTRACIVE, CITRIC ACID, LACTIC ACID STARTER CULTURE BHA, BHT, SODIUM NITRITE.  BHA, BHT WITH CITRIC ACID ADDED TO HELP PROTECT FLAVOR. SMOKE FLAVORING ADDED), Water, Vegetable Oil Blend (Vegetable Oil (May contain one or more of the following: Soybean, Canola, Corn, Sunflower Oil); Olive Oil; Colorant: Beta-Carotene E160a(i)), Extra Virgin Olive Oil, Kosher Salt, Granulated Sugar, Yeast, Granulated Sugar, Kosher Salt, Black Pepper, Garlic Powder, Dried Oregano",,,2.4,3.2,3.2,2.5,0.7,5.0
Char-Grilled Turkey Burger,Burger,"White-meat turkey burger served hot-off-the-grill on a fresh, soft bun","Turkey Burger, Roll",,,0.3,1.2,3.6,0.3,1.1,1.5
Grilled Black Bean Burger,Burger,"Gardenburger® black bean burger served hot-off-the-grill on a fresh, soft bun","Black Bean Veggie Burger, Roll",,,0.1,1.1,3.7,1.2,1.2,2.0
Classic Hot Dog,Hot Dog/Corn Dog,Grilled  hot dog on a roll,"Beef and Pork Frank (Beef, Water, Flavorings, Contains 2% or Less of Salt, Sorbitol, Potassium Lactate, Sodium Phosphates, Sodium Diacetate, Sodium Erythorbate, Sodium Nitrite, Extractives Of Paprika.), Hot Dog Roll (ENRICHED FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, HIGH FRUCTOSE CORN SYRUP, YEAST, WHEAT GLUTEN, SOYBEAN OIL, CONTAINS 2% OR LESS OF EACH OF THE FOLLOWING: SALT, DOUGH CONDITIONERS (CONTAINS ONE OR MORE OF THE FOLLOWING: SODIUM STEAROYL LACTYLATE, CALCIUM STEAROYL LACTYLATE, MONOGLYCERIDES AND/OR DIGLYCERIDES, CALCIUM PEROXIDE, CALCIUM IODATE, DATEM, ETHOXYLATED MONO- AND DIGLYCERIDES, ENZYMES), SESAME FLOUR, CALCIUM PROPIONARE (TO RETARD SPOILAGE).)",,,2.0,2.8,4.7,0.7,1.2,3.5
