name,category,description,ingredients,diet_tags,allergens,sweet,salty,savory,spicy,sour,rich
Shredded Chicken with Chermoula Sauce,Roast/Braise,Shredded chicken in a Northern African spiced herb sauce,"Chicken Thigh, Water, Vegetable Oil Blend (Vegetable Oil (May contain one or more of the following: Soybean, Canola, Corn, Sunflower Oil); Olive Oil; Colorant: Beta-Carotene E160a(i)), Lemon Juice, Cilantro, Parsley, Garlic, Vegetable Oil Blend (Vegetable Oil (May contain one or more of the following: Soybean, Canola, Corn, Sunflower Oil); Olive Oil; Colorant: Beta-Carotene E160a(i)), Cumin, Ginger Root, Paprika, Turmeric, Kosher Salt, Coriander, Crushed Red Pepper",,,0.7,2.6,4.0,2.8,4.2,5.0
Grilled Italian Vinaigrette Chicken Thigh,Grilled,Grilled chicken thigh marinated in fresh Italian Vinaigrette,"Chicken Thigh, Vegetable Oil Blend (Vegetable Oil (May contain one or more of the following: Soybean, Canola, Corn, Sunflower Oil); Olive Oil; Colorant: Beta-Carotene E160a(i)), Red Wine Vinegar, Basil, Honey, Garlic, Parsley, Kosher Salt, Crushed Red Pepper",,,2.6,3.2,3.2,2.3,2.9,4.6
Roasted Eggplant Mezze,Bowl,Fragrant oven-baked eggplant and spicy carrot-mint slaw top hummus swirled with toasted cumin and drizzled with nutty roasted red pepper Romesco,"Garbanzo Beans, Eggplant, Flat Bread, Carrots, Lemon Juice, Tahini, Vegetable Oil Blend, Green Onion, Vegetable Oil Blend, Roasted Red Peppers, Vegetable Oil Blend, Orange Juice, Vegetable Oil Blend, Honey, Lemon Juice, Tomato Paste, Balsamic Vinegar, Almonds, Garlic, Parsley, Panko Bread Crumbs, Turmeric, Kosher Salt, Cinnamon, Cumin, Garlic, Sriracha Chili Sauce, Ginger Root, Mint, Garlic, Kosher Salt, Kosher Salt, Paprika, Paprika, Black Pepper, Kosher Salt, Cumin, Sriracha Chili Sauce, Crushed Red Pepper, Cinnamon",,,2.1,3.6,5.0,3.2,2.7,3.7
Baked Penne Alfredo,Casserole,Penne pasta in a creamy alfredo sauce,"Water, Water, Cellentani, Alfredo Sauce, Asiago Cheese",,,1.3,1.6,2.6,0.5,0.4,3.4
Curried Chickpeas,Stew,Chickpeas simmered in an Indian-spiced curry served over jasmine rice,"Water, Garbanzo Beans, Jasmine Rice, Tomato Puree, Water, Onion, Cilantro, Jalapeno Pepper, Canola Oil, Vegetable Base (SAUTEED VEGETABLE PUREE MIX (CARROTS, ONIONS, CELERY), CORN STARCH, MALTODEXTRIN, VEGETABLE OIL (CORN AND/OR CANOLA OIL), HYDROLYZED CORN PROTEIN, YEAST EXTRACT, TOMATO POWDER, WATER, ONION POWDER, 2% OR LESS OF DISODIUM INOSINATE AND DISODIUM GUANYLATE, SALT, GARLIC POWDER, PAPRIKA (COLOR), NATURAL FLAVORS, LACTIC ACID, NATURAL FLAVOR, MODIFIED CORNSTARCH, CITRIC ACID.), Cumin, Ginger Root, Kosher Salt, Turmeric, Coriander, Cayenne Pepper, Cardamom",,,0.7,3.2,4.7,1.9,0.3,4.5
SHRIMP PRIMAVERA,Saute,"Fresh broccoli, squash and red pepper in a savory pesto sauce with shrimp","Shrimp, Water, Broccoli, Red Bell Pepper, Squash Zucchini, Squash, Vegetable Oil Blend (Vegetable Oil (May contain one or more of the following: Soybean, Canola, Corn, Sunflower Oil); Olive Oil; Colorant: Beta-Carotene E160a(i)), Basil, Parsley, Vegetable Oil Blend (Vegetable Oil (May contain one or more of the following: Soybean, Canola, Corn, Sunflower Oil); Olive Oil; Colorant: Beta-Carotene E160a(i)), Parmesan Cheese (Parmesan Cheese (Pasteurized Part-Skim Milk, Cheese Culture, Salt, Enzymes). Anti-Caking Blend (Potato Starch, Powdered Cellulose).), Lemon Juice, Vegetable Base (SAUTEED VEGETABLE PUREE MIX (CARROTS, ONIONS, CELERY), CORN STARCH, MALTODEXTRIN, VEGETABLE OIL (CORN AND/OR CANOLA OIL), HYDROLYZED CORN PROTEIN, YEAST EXTRACT, TOMATO POWDER, WATER, ONION POWDER, 2% OR LESS OF DISODIUM INOSINATE AND DISODIUM GUANYLATE, SALT, GARLIC POWDER, PAPRIKA (COLOR), NATURAL FLAVORS, LACTIC ACID, NATURAL FLAVOR, MODIFIED CORNSTARCH, CITRIC ACID.), Garlic, Kosher Salt, Kosher Salt, Black Pepper, Black Pepper",,,0.4,2.1,3.7,3.2,2.6,5.0
Vegan Bar Sesame Soy Tofu,Create Your Own,Extra firm tofu marinated in a sesame soy marinade,"Tofu, Cornstarch, Sesame Oil, Soy Sauce, Ginger Root, Brown Sugar, Garlic, Orange Juice, Crushed Red Pepper",,,2.4,4.4,4.9,2.7,0.6,3.6
OH Classic Cheese Pizza,"Traditional 16""",House-made pizza dough topped with tomato and fresh basil sauce and a generous layer of melted mozzarella,"All Purpose Flour (Bleached  Wheat Flour, Malted Barley Flour, Niacin, Iron, Potassium Bromate, Thiamin  Mononitrate, Riboflavin, Folic Acid.), Water, Mozzarella Cheese (Low-Moisture Part-Skim Mozzarella Cheese (Pasteurized Part-Skim Milk, Cheese Culture, Salt, Enzymes). Anti-Caking Blend (Potato Starch, Powdered Cellulose).), Crushed Tomatoes (VINE RIPENED TOMATOES, TOMATO PUREE, SEA SALT,  CITRIC ACID.), Extra Virgin Olive Oil, Granulated Sugar, Salt, Basil, Yeast, Kosher Salt, Garlic",,,3.0,3.3,4.0,0.4,1.5,5.0
OH Pepperoni Pizza,"Traditional 16""","House-made pizza dough topped with crispy pepperoni slices, tomato fresh basil sauce and mozzarella cheese","All Purpose Flour (Bleached  Wheat Flour, Malted Barley Flour, Niacin, Iron, Potassium Bromate, Thiamin  Mononitrate, Riboflavin, Folic Acid.), Water, Mozzarella Cheese (Low-Moisture Part-Skim Mozzarella Cheese (Pasteurized Part-Skim Milk, Cheese Culture, Salt, Enzymes). Anti-Caking Blend (Potato Starch, Powdered Cellulose).), Crushed Tomatoes (VINE RIPENED TOMATOES, TOMATO PUREE, SEA SALT,  CITRIC ACID.), Deli Pepperoni (CHICKEN, BEEF, TURKEY, SALT, CONTAINS 2% OR LESS OF WATER, DEXTROSE, SPICES, SMOKE FLAVORING, FLAVORING, GARLIC POWDER, OLEORESIN OF PAPRIKA, ROSEMARY EXTRACT, SODIUM ASCORBATE, SPICE EXTRACIVE, CITRIC ACID, LACTIC ACID STARTER CULTURE BHA, BHT, SODIUM NITRITE.  BHA, BHT WITH CITRIC ACID ADDED TO HELP PROTECT FLAVOR. SMOKE FLAVORING ADDED), Extra Virgin Olive Oil, Granulated Sugar, Salt, Basil, Yeast, Kosher Salt, Garlic",,,3.8,4.3,3.6,3.1,0.9,5.0
Onion & Pepper Pizza,"Traditional 16""","Onions, green peppers, mozzarella and pizza sauce","All Purpose Flour, Mozzarella Cheese, Water, Pizza Sauce, Green Bell Pepper, Onion, Vegetable Oil Blend, Kosher Salt, Granulated Sugar, Vegetable Oil Blend, Yeast, Kosher Salt, Black Pepper",,,2.2,3.9,3.9,3.5,0.2,4.4
